Time_s,Voltage_V,Current_A,Power_W,SOC_Percent,DTB_Temp_C,TC0_Temp_C,TC1_Temp_C
4072.390,3.925,3.298,12.909,43.31,30.05,2289.22,21.32
4079.375,3.928,3.298,12.909,43.44,30.00,2289.23,21.33
4086.307,3.928,3.298,12.909,43.57,30.00,2289.22,21.34
4093.290,3.930,3.298,12.909,43.70,30.00,2289.22,21.32
4100.200,3.930,3.298,12.909,43.83,30.00,2289.21,21.29
4107.152,3.932,3.298,12.909,43.96,30.00,2289.24,21.29
4114.116,3.932,3.298,12.909,44.09,29.90,2289.22,21.29
4121.068,3.935,3.298,12.909,44.22,29.90,2289.22,21.32
4128.032,3.935,3.298,12.909,44.35,29.85,2289.23,21.33
4134.964,3.937,3.298,12.909,44.48,29.85,2289.21,21.34
4141.924,3.937,3.298,12.909,44.61,29.90,2289.22,21.36
4148.893,3.939,3.298,12.909,44.74,29.90,2289.22,21.35
4157.847,3.939,3.298,12.955,44.91,29.90,2289.22,21.31
4166.799,3.941,3.298,12.955,45.08,30.00,2289.21,21.35
4174.740,3.944,3.298,12.955,45.22,30.05,2289.22,21.35
4183.704,3.944,3.298,12.955,45.39,30.05,2289.20,21.35
4190.659,3.946,3.298,12.955,45.52,30.05,2289.21,21.37
4197.607,3.946,3.298,12.955,45.65,30.05,2289.21,21.37
4204.531,3.948,3.298,12.955,45.78,30.05,2289.22,21.38
4211.495,3.948,3.298,12.955,45.91,30.05,2289.21,21.36
4218.458,3.951,3.298,12.955,46.04,30.05,2289.21,21.35
4225.402,3.953,3.298,12.955,46.17,30.05,2289.21,21.34
4232.366,3.953,3.298,12.955,46.30,30.05,2289.19,21.32
4239.299,3.955,3.298,13.001,46.43,30.05,2289.20,21.34
4246.246,3.955,3.298,13.001,46.56,30.05,2289.21,21.35
4253.220,3.957,3.298,13.001,46.70,30.05,2289.19,21.33
4260.191,3.957,3.298,13.001,46.83,30.05,2289.19,21.31
4267.121,3.960,3.298,13.001,46.96,30.05,2289.20,21.30
4274.074,3.960,3.298,13.001,47.09,30.05,2289.20,21.30
4281.019,3.962,3.298,13.001,47.22,30.05,2289.20,21.30
4287.982,3.964,3.298,13.001,47.35,30.05,2289.19,21.32
4294.955,3.964,3.298,13.001,47.48,29.95,2289.18,21.31
